Eventi da inserire - dev
Id;EventName;Description;Category;StartDate;EndDate;Link;HighlightEvent;Creator;CreatorLogo;TopImage;BottomImage;Mode;SdgImage;SdgTag;Region;Address;Latitude;Longitude
;Ce.Svi.Te.M. - Centro Sviluppo Terzo Mondo Onlus;Associazione italiana senza fini di lucro attiva nel campo della cooperazione internazionale, senza appartenenze politiche o confessionali;2;;;https://www.cesvitem.org/it/home.asp;;;;https://www.cesvitem.org/it/immagini/home/auguri-natale-2022.jpg;;In presenza;11;;;via Mariutto 68 - 30035 Mirano VE - ITALY;45,4971519;12,1137116
;WFF - Women For Freedom Onlus;WFF è un'organizzazione umanitaria indipendente e imparziale nata per lottare contro la discriminazione e lo sfruttamento delle donne. Ora. Ovunque.;2;;;https://www.womenforfreedom.org/;;;;https://d2kq0urxkarztv.cloudfront.net/6020f38e2998bf00c75b36d9/2560162/upload-aab82d10-7e48-4ec9-b60e-a7a53364c0d7.jpg;https://scontent.fvce2-1.fna.fbcdn.net/v/t39.30808-6/279215483_918948862183242_4729884464604848803_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=09cbfe&_nc_ohc=BORgFnupixAAX-DS5y1&_nc_ht=scontent.fvce2-1.fna&oh=00_AfA3aKEoYEum8cVJGGfpwgDd6bHsYwq6YMG6kliBfuia4g&oe=63B86AF0;In presenza;11;;;Vicolo Parolini 5, 36061 Bassano del Grappa (VI);45,7636245;11,7380024
;Colomitalia;Un gruppo nato per raccogliere una sfida senza garanzie di successo: il riscatto socio-culturale della donna. Da 17 anni rilanciamo con coraggio.;2;;;http://www.colomitalia.org/;;;;http://www.colomitalia.org/wp-content/uploads/2017/05/20170422_122138.jpg;http://www.colomitalia.org/wp-content/uploads/2016/05/Logo.jpg;In presenza;11;;;Stradella San Nicola 2, 36100 Vicenza (VI);45,5458043;11,5486142
;No indifference Onlus;Ente no profit la cui mission è: NON RIMANERE INDIFFERENTI alle situazioni di disagio e vulnerabilità.;2;;;https://www.noindifferenceonlus.org/;;;;;https://static.wixstatic.com/media/55c865_1b8999a4889f4673accff4ef63ee63cb~mv2.png/v1/fill/w_1788,h_409,al_c,q_90,usm_0.66_1.00_0.01,enc_auto/scritta_adesivo_bmp.png;In presenza;11;;;Dorsoduro 1240/A - 30123 Venezia (Italia);45,4358122;12,3307989
;4 Zampe nel Cuore Italia;Cerchiamo di arginare il fenomeno dell'abbandono diffondendo la cultura della sterilizzazione/castrazione.;2;;;https://4zampenelcuore.org/;;;;https://4zampenelcuoreorg.files.wordpress.com/2022/12/dog-g0662a0e44_640.jpg;https://4zampenelcuoreorg.files.wordpress.com/2019/09/cropped-logo-1.jpg?w=740&h=635;In presenza;11;;;Strada Crociare 1, 46027 Portiolo di San Benedetto Po, Mantova (MN);45,0387021;10,8525884
;Progetti Solidarietà Oikos onlus;Il nostro obiettivo principale sono i bambini, per garantire loro salute, istruzione e sviluppo integrale nel rispetto della loro dignità.;2;;;https://www.progettioikos.org/;;;;https://www.progettioikos.org/wp-content/uploads/2022/09/20220713_130218-scaled.jpg;https://www.progettioikos.org/wp-content/uploads/2022/10/oikos-logo.svg;In presenza;11;;;Via del Galgario, 7 – 24124 Bergamo;45,7005283;9,6803434
;CIAI - Centro Italiano Aiuti all'Infanzia;Un'associazione che protegge i bambini e difende i loro diritti, puntando sulla partecipazione. Ogni bambino del mondo è come un figlio.;2;;;https://ciai.it/;;;;https://ciai.it/wp-content/uploads/2021/04/CIAIPE-testa-interna-generale-scaled.jpeg;https://ciai.it/wp-content/webp-express/webp-images/uploads/2021/03/logo-CIAI@2x-1024x507.png.webp;In presenza;11;;;Via Bordighera 6, 20142 Milano;45,4424204;9,1736872
;Sea Shepherd Italia Onlus;Il nostro scopo è la promozione, la difesa, la conservazione dell'ecosistema marino e delle specie animali che lo popolano.;2;;;https://www.seashepherd.it/;;;;https://cdn2.hubspot.net/hubfs/3913712/news-151109-1-2-SA-Steve-Irwin-rough-2-1000w.jpg;https://www.seashepherd.it/wp-content/uploads/2017/10/logo_seasheperd_hd.jpg;In presenza;11;;;Via Rosso di San Secondo,7, 20134 Milano - Italy;45,4723944;9,2403624
;Terre des Hommes;Terre des Hommes è in prima linea per proteggere i bambini dalla violenza e dallo sfruttamento con progetti in Italia e nel mondo;2;;;https://terredeshommes.it/;;;;https://terredeshommes.it/wp-content/uploads/people-3120717_1920-copia.jpg;https://terredeshommes.it/wp-content/uploads/tdh_logo_nopayoff.svg;In presenza;11;;;Via M. M. Boiardo 6, 20127 Milano;45,4999563;9,2218064
;Worldrise Onlus;Worldrise sviluppa progetti di conservazione e valorizzazione dell'ambiente marino attraverso un percorso di sensibilizzazione, creatività, educazione;2;;;https://worldrise.org/;;;;https://worldrise.org/wp-content/uploads/2021/10/1.jpg;https://worldrise.org/wp-content/uploads/2020/11/Logo_WR_Colored.png;In presenza;11;;;Via Michele de Angelis 12, 20162, Milano;45,5072725;9,1933029
;Fondazione Mission Bambini Onlus;Dare aiuto concreto ai bambini poveri, ammalati, senza istruzione o che hanno subito violenze fisiche o morali in Italia e nel mondo.;2;;;https://missionbambini.org/;;;;https://i0.wp.com/missionbambini.org/wp-content/uploads/1200x480_header-istituzionale.jpg?fit=1200%2C480&ssl=1;https://i0.wp.com/missionbambini.org/wp-content/uploads/logo-mb-default-177x38-1.png?fit=177%2C38&ssl=1;In presenza;11;;;Via Ronchi 17, 20134 Milano;45,4877369;9,2369737
;CELIM ONLUS - Centro Laici Italiani per le Missioni;"Nel mondo gestiamo progetti di cooperazione internazionale; in Italia promuoviamo il volontariato e organizziamo percorsi interculturali nelle scuole.";2;;;https://www.celim.it/it/;;;;https://www.celim.it/celim-uploads/2016/11/Scu2023.png;https://www.celim.it/wp-content/themes/celim-2017/images/logo-celim.svg;In presenza;11;;;via Donatello 5 B, Fondazione AVSI, 20131 Milano;45,4806632;9,2182016
;HUMANA People to People Italia ONLUS;HPP Italia sostiene e realizza progetti di sviluppo nel Sud del mondo e interventi sociali in Italia.;2;;;https://www.humanaitalia.org/;;;;https://www.humanaitalia.org/wp-content/uploads/2022/12/News-sito-istituzionale-9-482x271.png;https://www.humanaitalia.org/wp-content/uploads/2018/10/logo.png;In presenza;11;;;Via Bergamo 9 B-C, 20006 Pregnana Milanese (MI);45,5026167;8,9966605
;MilanoAltruista;MilanoAltruista dal 2010 aiuta le associazioni attraverso diversi servizi gratuiti e allo stesso tempo permette ai cittadini di fare volontariato!;2;;;https://www.milanoaltruista.org/;;;;https://www.milanoaltruista.org/wp-content/uploads/2020/09/24/noah-ZsyoDh_zek4-unsplash-1-1024x662-1.jpg;https://www.milanoaltruista.org/wp-content/uploads/2020/12/02/logo-milanoaltruista-cappellino-natale-150x150-sito.png;In presenza;11;;;Via Donatello, 5b 20131 Milano MI;45,4807256;9,2182045
;Io Voglio Volontariato;E' un'associazione che ha lo scopo di sensibilizzare i giovani al tema del volontariato e terzo settore tramite formazione e informazione;2;;;https://shop.iovogliovolontariato.it;;;;;https://shop.iovogliovolontariato.it/wp-content/uploads/2020/08/logo-def.png;In presenza;11;;;Via Mar Nero 5, 20152 Milano;45,4581137;9,1029573
;Soleterre - Fondazione Soleterre;Soleterre è una fondazione che lavora per il riconoscimento e l'applicazione del Diritto alla Salute nel suo significato più ampio.;2;;;https://soleterre.org/;;;;https://soleterre.org/wp-content/uploads/2022/12/Per-i-Bambini-Ucraini-con-Mediafriends-e-Intersos.jpg;https://soleterre.org/wp-content/uploads/2017/08/logo_negativo160x61.png;In presenza;11;;;Strada consortile del Mirasole, 7, 20073 Opera (MI);45,3870557;9,2021026
;ActionAid Italia International Onlus;ActionAid lavora con oltre 15 milioni di persone nel mondo per promuovere la giustizia sociale, la democrazia e l'uguaglianza di genere.;2;;;https://www.actionaid.it/come-puoi-aiutarci/attivismo;;;;;https://www.actionaid.it/site/assets/img/logo-red.svg;In presenza;11;;;Via Carlo Tenca, 14 - 20124 Milano;45,4808971;9,2022469
;WWF Provinciale di Rovigo;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-rovigo/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Cavour 3, 45100 Rovigo;45,0700475;11,7909529
;WWF Venezia;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-venezia-e-territorio/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;via Rossignago 40, 30038 Spinea;45,4949578;12,1638435
;WWF Vicenza-Padova;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-vicenza-padova/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Strada delle Caperse, 155, 36100, Vicenza;45,5227077;11,5839268
;WWF Terre del Piave - Treviso e Belluno;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-terre-del-piave/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Treviso, TV, Italia;45,6668893;12,2430437
;WWF Veronese;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-veronese/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Quinzano, 24/D – 37124 – Verona;45,4607125;10,9735011
;WWF Trieste;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-trieste/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Santa Caterina 5 Trieste;45,6502815;13,7744458
;WWF ABRUZZO MONTANO;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-abruzzo-montano/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Don Minzoni, 19 – 67051 Avezzano;42,0427737;13,4199605
;WWF Teramo;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-teramo/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;via Salvo D’Acquisto –Piano d’Accio –64100 Teramo;42,684863;13,7614697
;WWF Zona Frentana e Costa Teatina;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-zona-frentana-e-costa-teatina/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Loc. Olmo di Riccio- Via Ortona snc- 66034- Lanciano (CH);42,2407807;14,3925663
;WWF Chieti-Pescara;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-chieti-pescara-abruzzo/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Chieti, Italia;42,347886;14,1635845
;WWF Potenza e Aree Interne;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-potenza/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Gradinata IV Novembre, 6 – 85100 Potenza;40,63849;15,80081
;WWF Costa Ionica;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-costa-ionica-lucana/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Piazza Siris 1, loc. Idrovora, 75025 Policoro MT;40,1725249;16,70335
;WWF PROVINCIA DI REGGIO CALABRIA;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-reggio-calabria/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;via Nazionale n° 56, 89060, Saline di Montebello Jonico;37,9436903;15,711386
;WWF Provincia di Crotone;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-provincia-di-crotone/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Loc. Marinella San Leonardo di Cutro;38,9532189;16,9827175
;WWF Vibo Valentia ;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-provincia-di-vibo-valentia-vallata-dello-stilaro/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;via MattiaPreti, SNC -89851, Ionadi (VV);38,6492113;16,0558062
;WWF Cosenza Sila Pollino;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-cosenza-sila-pollino/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Rende (CS) 87036 -Contrada Lacone snc . pressoC.I.P.R.;39,3317751;16,1839028
;WWF Calabria Citra;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-calabria-citra/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Nazionale, 5, 87067 Rossano Stazione, CS, Italia;39,5992399;16,6350952
;WWF Catanzaro;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-catanzaro/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;via XX settembre, 23 –88100 –Catanzaro;38,9050678;16,5911511
;WWF SILENTUM;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-silentum/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Falzia 3 c/o Oasi di Persano nel Comune di Serre (SA);40,6034655;15,1460974
;WWF  Salerno;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-salerno/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Mazzini, 22  – 84013 – Cava de Tirreni (SA);40,7046103;14,7047373
;WWF Terre del Tirreno;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-terre-del-tirreno/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;via Eduardo De Martino 36 – 80062 Meta (Na);40,6455248;14,4105445
;WWF Napoli;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-napoli/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Michele Cammarano, 25, 80129 Napoli NA;40,8460601;14,2340933
; WWF Caserta;LOTTIAMO PER LA NATURA E PER OGNI SINGOLA SPECIE CHE LA ABITA. Da più di 60 anni, WWF lotta per difendere l'ambiente e le specie più a rischio. Scopri tutte le nostre iniziative e aiutaci a sostenerle!;2;;;https://www.wwf.it/chi-siamo/presenza-sul-territorio/organizzazioni-locali/wwf-caserta/;;;;https://eidec2hct28.exactdn.com/uploads/hero_chi_siamo.jpg?strip=all&lossy=1&ssl=1;https://eidec2hct28.exactdn.com/uploads/logo.png?strip=all&lossy=1&resize=186%2C200&ssl=1;In presenza;11;;;Via Paul Harris –San Nicola la Strada (CE);41,0564714;14,3414594
